DEPTH,GR,RES,PHIE,RHOB,Class,Unique_Class_Num
2995.25,47.265,14.764,0.3181,2.07,"1, 2, 4",3
2995.5,48.643,16.825,0.3206,2.063,"1, 2, 4",3
2995.75,48.521,19.22,0.3232,2.059,"1, 2, 4",3
2996,46.925,22.15,0.3288,2.053,"1, 2, 4",3
2996.25,44.396,25.423,0.3336,2.05,"1, 2, 4",3
2996.5,40.936,28.629,0.3362,2.052,"1, 2, 4",3
2996.75,37.613,31.134,0.3426,2.047,"1, 2, 4",3
2997,35.036,32.327,0.3481,2.042,"1, 2, 4",3
2997.25,32.701,31.972,0.3515,2.04,"1, 2, 4",3
2997.5,30.343,30.325,0.3572,2.034,"1, 2, 4",3
2997.75,28.285,27.914,0.3625,2.028,"1, 2, 4",3
2998,27.555,25.242,0.3704,2.016,"1, 2, 4",3
2998.25,27.896,22.65,0.3732,2.011,"1, 2, 4",3
2998.5,28.552,20.416,0.369,2.017,"1, 2, 4",3
2998.75,30.457,18.337,0.3583,2.032,"1, 2, 4",3
2999,33.398,16.574,0.3515,2.039,"1, 2, 4",3
2999.25,35.198,15.196,0.3443,2.048,"1, 2, 4",3
2999.5,35.481,14.041,0.3404,2.054,"1, 2, 4",3
2999.75,35.935,13.343,0.3357,2.061,"1, 2, 4",3
3000,36.616,12.948,0.3345,2.062,"1, 2, 4",3
3000.25,36.081,12.814,0.3332,2.065,"1, 2, 4",3
3000.5,34.809,12.91,0.335,2.064,"1, 2, 4",3
3000.75,33.877,13.221,0.3358,2.064,"1, 2, 4",3
3001,32.15,13.751,0.3404,2.059,"1, 2, 4",3
3001.25,29.281,14.514,0.3477,2.051,"1, 2, 4",3
3001.5,26.955,15.518,0.352,2.047,"1, 2, 4",3
3001.75,25.95,16.694,0.3516,2.049,"1, 2, 4",3
3002,25.221,17.922,0.3552,2.044,"1, 2, 4",3
3002.25,23.924,19.04,0.3562,2.044,"1, 2, 4",3
3002.5,22.571,19.776,0.3572,2.044,"1, 2, 4",3
3002.75,21.574,19.889,0.3573,2.045,"1, 2, 4",3
3003,20.893,19.303,0.3584,2.044,"1, 2, 4",3
3003.25,20.674,18.174,0.3567,2.047,"1, 2, 4",3
3003.5,20.747,16.785,0.3542,2.051,"1, 2, 4",3
3003.75,20.61,15.403,0.3537,2.052,"1, 2, 4",3
3004,20.318,14.204,0.3509,2.057,"1, 2, 4",3
3004.25,20.253,13.146,0.3479,2.062,"1, 2, 4",3
3004.5,20.285,12.472,0.3466,2.064,"1, 2, 4",3
